2026-02-01 00:16:02 INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-02-01 00:16:02 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-02-01 00:16:02 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.34]
2026-02-01 00:16:02 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-02-01 00:16:02 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 6836 ms
2026-02-01 00:16:03 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-02-01 00:16:03 INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn1: url=jdbc:h2:file:./data/jewelry_db user=ADMIN_JEWELER
2026-02-01 00:16:03 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-02-01 00:16:04 INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:h2:file:./data/jewelry_db (H2 2.3)
2026-02-01 00:16:04 WARN  o.f.c.i.database.base.Database - Flyway upgrade recommended: H2 2.3.232 is newer than this version of Flyway and support has not been tested. The latest supported version of H2 is 2.2.224.
2026-02-01 00:16:04 INFO  o.f.core.internal.command.DbValidate - Successfully validated 3 migrations (execution time 00:00.065s)
2026-02-01 00:16:04 INFO  o.f.core.internal.command.DbMigrate - Current version of schema "PUBLIC": 3
2026-02-01 00:16:04 INFO  o.f.core.internal.command.DbMigrate - Schema "PUBLIC" is up to date. No migration necessary.
2026-02-01 00:16:04 INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-02-01 00:16:04 INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.6.4.Final
2026-02-01 00:16:04 INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2026-02-01 00:16:04 INFO  o.hibernate.orm.connections.pooling - HHH10001005: Database info:
	Database JDBC URL [Connecting through datasource 'HikariDataSource (HikariPool-1)']
	Database driver: undefined/unknown
	Database version: 2.3.232
	Autocommit mode: undefined/unknown
	Isolation level: undefined/unknown
	Minimum pool size: undefined/unknown
